filename,bytes,sha256,source_url
Brochure-UFS by Petros Geroulanos 10-12 March 2020.pdf,1682634,7be99bc6a46d320d6d04bd5a685367b2da87aa33ff51811ee6cd881c8afb8607,https://www.octara.com/Brochures/FAW/Brochure-UFS%20by%20Petros%20Geroulanos%2010-12%20March%202020.pdf
Flyer-FOAM - Rose Marie copy.pdf,404473,515942e0dbbc0706f86c1a6e4259a760f04614dcc4390d96f78e317d19b92d0a,https://www.octara.com/Brochures/General%20Management/Flyer-FOAM%20-%20Rose%20Marie%20copy.pdf
Strategy Planning & Execution.pdf,1348083,2504a2bf6b951ee292284de2325b574b482a1f4308a183b78249dfa16ea27313,https://www.octara.com/Brochures/General%20Management/Strategy%20Planning%20&%20Execution.pdf
Job Evaluation & Grade Structures by Robert Mosley (15-16 Nov - KHI).pdf,1353667,3d8a3f443f6646b392adf960dcc33a9db7bfcba98f013df4d9f24fdf642f83f1,https://www.octara.com/Brochures/HR%20&Training/Job%20Evaluation%20&%20Grade%20Structures%20by%20Robert%20Mosley%20(15-16%20Nov%20-%20KHI).pdf
Practical Interviewing Skills.pdf,1177623,7dcfba7813773b7421ccde93e7c7ff36869eaeb853d28b210c9cbd99eddbdced,https://www.octara.com/Brochures/HR%20&Training/Practical%20Interviewing%20Skills.pdf
Advanced Dashboard Reporting with MS Excel.pdf,1608259,8036a36a885d1f4f7b62c12ca04355031bdb899d978a7229bd24ef21b7c09914,https://www.octara.com/Brochures/ICT/Advanced%20Dashboard%20Reporting%20with%20MS%20Excel.pdf
Certificate in Advanced Maintenance Planning.pdf,767309,fe2d2c800bf38e9de2182c505ae3abded60c9c3a8256d88e685006cba0c609d1,https://www.octara.com/Brochures/Industrial/Certificate%20in%20Advanced%20Maintenance%20Planning.pdf
Pyramid Leadership.pdf,611987,cb84286ccc67f6e2128fca83c0773ec8cdb9e158a41cd46118b280f526634981,https://www.octara.com/Brochures/Leadership/Pyramid%20Leadership.pdf
21 Effective Brainstorming Techniques.pdf,547428,10879d0c241d9dd24ccea14848696f2892f5b691723a6dd05938e69e374f0f07,https://www.octara.com/Brochures/Marketing/21%20Effective%20Brainstorming%20Techniques.pdf
"Brochure Bearing Damage Analysis by Khurram Shahzad Feb 9-10, 2022-Lahore .pdf",1512915,8ab45d25dcf199b38c7c4620603d4d38ac46dc2264d970aabe74957c6f56da08,"https://www.octara.com/Brochures/Operations%20&%20Quality%20Management/Brochure%20Bearing%20Damage%20Analysis%20by%20Khurram%20Shahzad%20Feb%209-10,%202022-Lahore%20.pdf"
21 Effective Selling Techniques.pdf,533135,82c3f5bcae1e865588f4b2e8a59abd29618094e168051d1d969a54837c691720,https://www.octara.com/Brochures/Sales%20&%20KAM/21%20Effective%20Selling%20Techniques.pdf
Certificate in Procurement Management.pdf,825488,b3be1e16940c6f184501bf9e5bedd5983c39e20cc791c31cf705c255106e4837,https://www.octara.com/Brochures/Supply%20Chain/Certificate%20in%20Procurement%20Management.pdf
Uplifting_Service.pdf,2055876,c068ce61e1e62b2951dc5c79e1f8094b4249bee01869074914fb02464f5cc3a4,https://www.octara.com/Brochures/Uplifting_Service.pdf
Octara eNewsletter 05.pdf,1455654,a730c974444879334202bf1789058e774f7d89319b9a483027defcdaba5e0ace,https://www.octara.com/Publications/Octara%20eNewsletter%2005.pdf
Octara.com e-Newsletter - Fortnightly Issue 33 - February 2021.pdf,3760171,42ee58dcce5febc02352c489cbd501ba3bcbc96e89a752b2ad3971d0c478ee96,https://www.octara.com/Publications/Octara.com%20e-Newsletter%20-%20Fortnightly%20Issue%2033%20-%20February%202021.pdf
Octara.com e-Newsletter Fortnightly Issue 34 - Mid-Feb 2021 copy.pdf,5132944,7608ff12adc5e4782434849752c04c04a5f415242abd556578259d515ebdd7d3,https://www.octara.com/Publications/Octara.com%20e-Newsletter%20Fortnightly%20Issue%2034%20-%20Mid-Feb%202021%20copy.pdf
